INSTNM,STABBR,LATITUDE,LONGITUDE,ICLEVEL
Charles R Drew University of Medicine and Science,CA,33.925658,-118.242791,1
Concordia University-Irvine,CA,33.653665000000004,-117.81230500000001,1
San Diego Christian College,CA,32.842403999999995,-116.97811200000001,1
Citrus College,CA,34.135487,-117.88526599999999,2
Citrus Heights Beauty College,CA,38.712951000000004,-121.289529,3
City College of San Francisco,CA,37.725953000000004,-122.451155,2
Claremont McKenna College,CA,34.102154,-117.71118799999999,1
Milan Institute-Visalia,CA,36.27164000000001,-119.312151,3
Clovis Adult Education,CA,36.834459,-119.69036899999999,3
Coastline Community College,CA,33.715634,-117.929143,2
Cogswell College,CA,37.414049,-121.94086999999999,1
Coleman University,CA,32.821962,-117.13649299999999,1
Coba Academy,CA,33.841141,-117.94310800000001,3
Columbia College,CA,38.030367,-120.38838500000001,2
Columbia College Hollywood,CA,34.17972,-118.538793,1
Compton College,CA,33.878226,-118.20946299999999,2
Contra Costa College,CA,37.969381,-122.337377,2
Cosumnes River College,CA,38.45295,-121.42310800000001,2
Crafton Hills College,CA,34.039178,-117.101173,2
Cuesta College,CA,35.331276,-120.74223500000001,2
Cuyamaca College,CA,32.744954,-116.94350700000001,2
Cypress College,CA,33.82833,-118.025143,1
De Anza College,CA,37.320788,-122.04555800000001,2
International School of Beauty Inc,CA,33.729555,-116.40392800000001,3
Dell'Arte International School of Physical Theatre,CA,40.880924,-123.988808,1
College of the Desert,CA,33.732108000000004,-116.388271,2
Design Institute of San Diego,CA,32.880926,-117.167374,1
Diablo Valley College,CA,37.968515999999994,-122.07314199999999,2
Dominican University of California,CA,37.981279,-122.512051,1
East Los Angeles College,CA,34.040531,-118.148785,2
El Camino Community College District,CA,33.885228999999995,-118.32991299999999,2
Elegance International,CA,34.098445,-118.33811100000001,3
Empire College,CA,38.468052,-122.72933700000002,1
Evergreen Valley College,CA,37.30167,-121.76561000000001,2
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,CA,34.044209,-118.25993000000001,1
FIDM-Fashion Institute of Design & Merchandising-San Francisco,CA,37.78635300000001,-122.406651,1
FIDM-Fashion Institute of Design & Merchandising-Orange County,CA,33.691963,-117.852254,2
Feather River Community College District,CA,39.953101000000004,-120.97306699999999,1
Federico Beauty Institute,CA,38.64883,-121.49776100000001,3
Redondo Beach Beauty College,CA,33.873098,-118.37213700000001,3
Foothill College,CA,37.361655,-122.12796399999999,1
Fredrick and Charles Beauty College,CA,40.798885,-124.16498600000001,3
Fresno City College,CA,36.768164,-119.79609599999999,2
