LATITUDE,LONGITUDE,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT,TUITFTE,INEXPFTE,AVGFACSAL,PFTFAC,UGDS_WOMEN,RET_FT4_POOLED,RET_FT4_POOLED_binr,RET_FT4_POOLED_binq,RET_FT4_POOLED_binrm,CONTROL,STABBR
33.10625,-86.865099,0.0,0.0,0.0,0.0,0.0392,0.0,0.0,0.0,0.0961,0.0,0.0,0.0098,0.0431,0.0,0.0686,0.0,0.0,0.0451,0.0255,0.0,0.0,0.1039,0.0,0.0,0.0196,0.0,0.0529,0.0,0.0373,0.0569,0.0,0.0,0.0,0.0,0.1569,0.0765,0.1255,0.0431,2329.0,0.6866,0.1597,0.0528,0.0094,0.0034,0.0004,0.0335,0.0232,0.0309,0.0988,23938.0,12400.0,25030.0,8422.0,11010.0,7451.0,0.6709,0.6754,0.7536,0,3,1,1,AL
34.806738,-87.681361,0.0,0.0,0.0,0.0,0.0654,0.0,0.0129,0.0129,0.1032,0.0,0.0,0.0111,0.0221,0.0,0.0203,0.0,0.0,0.0387,0.0046,0.0,0.0304,0.0636,0.0,0.0,0.0221,0.0,0.0276,0.0323,0.0461,0.0516,0.0,0.0,0.0,0.0,0.0618,0.1429,0.2157,0.0147,5771.0,0.73,0.1521,0.0315,0.0059,0.0088,0.0014,0.0262,0.0237,0.0203,0.1128,18223.0,8480.0,15128.0,6997.0,7761.0,7567.0,1.0,0.5959,0.7543,0,3,1,1,AL
34.756344,-86.65270500000004,0.0,0.0,0.0,0.0,0.0302,0.0,0.0082,0.0,0.033,0.0,0.0,0.0165,0.0165,0.0,0.0055,0.1346,0.0,0.1346,0.0192,0.0,0.0,0.0,0.0,0.0604,0.0055,0.0,0.0714,0.0,0.0687,0.0302,0.0,0.0,0.0,0.0,0.0247,0.1978,0.1346,0.0082,1623.0,0.0049,0.8392,0.0388,0.0043,0.0062,0.0,0.0,0.0635,0.0431,0.0635,35547.0,16720.0,16720.0,12014.0,6587.0,4902.0,0.7748,0.5798,0.7194,0,2,0,2,AL
33.464128,-86.791799,0.0,0.0,0.0,0.0,0.0674,0.0,0.0083,0.0,0.0603,0.0095,0.0,0.0047,0.0496,0.0284,0.0272,0.0024,0.0,0.0319,0.0047,0.0,0.0012,0.0426,0.0106,0.0035,0.0035,0.0,0.0236,0.0,0.0047,0.0343,0.0,0.0,0.0,0.0,0.065,0.3132,0.1879,0.0154,3364.0,0.8439,0.0693,0.0312,0.0098,0.0018,0.0003,0.0223,0.0161,0.0054,0.03,44896.0,30490.0,30490.0,18867.0,15086.0,8580.0,0.9922,0.6611,0.8783,1,4,1,2,AL
32.420387,-87.032392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087,0.0,0.0,0.0,0.0,0.0,0.3043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2609,0.2174,0.0,311.0,0.0193,0.9711,0.0096,0.0,0.0,0.0,0.0,0.0,0.0,0.2605,15022.0,7115.0,7115.0,13530.0,6158.0,2900.0,1.0,0.5659,0.5592,0,1,0,2,AL
30.696033,-88.17871099999998,0.0,0.0,0.0,0.0,0.0431,0.0,0.032,0.0,0.109,0.0969,0.0,0.006,0.0,0.0,0.0144,0.0,0.0,0.0677,0.0065,0.0,0.0557,0.0223,0.0019,0.0,0.0158,0.0,0.0301,0.026000000000000002,0.0162,0.0264,0.0,0.0,0.0,0.0,0.0223,0.2848,0.11599999999999999,0.006999999999999999,10712.0,0.5927,0.2251,0.0334,0.03,0.0065,0.0015,0.0308,0.0579,0.0221,0.1527,19702.0,7812.0,15324.0,9198.0,9082.0,7203.0,0.6234,0.564,0.7533,0,3,1,1,AL
30.694751,-88.138199,0.0,0.0,0.0,0.0,0.0807,0.0,0.0,0.0,0.1435,0.009000000000000001,0.0,0.0045,0.0,0.0,0.0448,0.0448,0.0,0.0852,0.0224,0.0,0.0045,0.0,0.0269,0.0,0.0224,0.0,0.1256,0.0,0.0,0.0583,0.0,0.0,0.0,0.0,0.0359,0.0897,0.1928,0.009000000000000001,1375.0,0.68,0.1607,0.0218,0.0109,0.0065,0.0022,0.048,0.0356,0.0342,0.0087,50954.0,37584.0,37584.0,12554.0,7604.0,6643.0,0.6619,0.632,0.7747,0,3,1,2,AL
33.200006,-87.585278,0.0,0.0,0.0,0.0,0.0481,0.0,0.0,0.0,0.0865,0.0,0.0,0.0,0.0,0.0,0.0288,0.0673,0.0,0.2404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0481,0.0,0.2115,0.1058,633.0,0.0695,0.8657,0.0205,0.0,0.0016,0.0,0.0095,0.0,0.0332,0.128,19803.0,10792.0,10792.0,8697.0,4479.0,4641.0,0.6346,0.5419,0.4396,0,1,0,2,AL
33.433471999999995,-86.11270400000002,0.0,0.0,0.0,0.0,0.0388,0.0,0.0971,0.0,0.0097,0.0,0.0,0.0,0.0,0.0,0.0194,0.0,0.0,0.0874,0.0194,0.0,0.0,0.0,0.0,0.0,0.0194,0.0,0.1068,0.0777,0.1165,0.0874,0.0,0.0,0.0,0.0,0.0777,0.0,0.233,0.0097,782.0,0.0192,0.867,0.0473,0.0,0.0013,0.0013,0.023,0.0217,0.0192,0.0256,22314.0,12340.0,12340.0,8182.0,5367.0,5471.0,0.6176,0.4719,0.5710000000000001,0,1,0,2,AL
31.800672,-85.957094,0.0,0.0016,0.0,0.0,0.0374,0.0,0.0454,0.0,0.0707,0.0,0.0028,0.0048,0.0,0.0,0.01,0.0776,0.0,0.035,0.0084,0.0,0.0189,0.047,0.0,0.0,0.0048,0.0,0.1198,0.1117,0.0595,0.0659,0.0,0.0,0.0,0.0,0.0145,0.0844,0.1676,0.0121,13634.0,0.535,0.3007,0.0375,0.0087,0.0048,0.0014,0.0282,0.0452,0.0385,0.3053,18585.0,8692.0,16276.0,9357.0,6599.0,6444.0,0.3774,0.6007,0.7208,0,2,0,1,AL
32.4309,-85.708492,0.1435,0.011000000000000001,0.0419,0.0,0.0155,0.0,0.0287,0.0,0.0419,0.1965,0.0,0.0,0.0375,0.0,0.011000000000000001,0.0,0.0,0.0927,0.0022,0.0,0.0,0.0,0.0,0.0,0.0155,0.0,0.1082,0.0,0.0132,0.0353,0.0,0.0,0.0,0.0,0.0,0.0662,0.1347,0.0044,2833.0,0.0067,0.8009,0.0078,0.0071,0.0028,0.0,0.0011,0.0,0.1737,0.0392,36673.0,22170.0,22170.0,15268.0,12490.0,4753.0,1.0,0.6318,0.6931,0,2,0,2,AL
61.190163,-149.82619,0.0,0.0042,0.0,0.0019,0.0088,0.0,0.0223,0.006999999999999999,0.0279,0.0497,0.0539,0.006999999999999999,0.0065,0.0084,0.0158,0.1301,0.0,0.019,0.0033,0.0,0.0279,0.006,0.0033,0.0,0.0098,0.0107,0.0288,0.0283,0.0153,0.0344,0.0,0.0297,0.0181,0.02,0.0172,0.215,0.1528,0.0172,11332.0,0.5552,0.0335,0.0889,0.0906,0.0566,0.009000000000000001,0.1146,0.0219,0.0297,0.4343,19126.0,6690.0,19494.0,6834.0,11692.0,9248.0,0.4735,0.5732,0.6983,0,2,0,1,AK
61.598553,-149.111972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.7742,0.0,0.0323,0.0323,0.0323,0.0,0.0645,0.0323,0.0323,0.1613,19260.0,9350.0,9350.0,8099.0,5104.0,3403.0,0.6448,0.3226,0.5333,0,1,0,2,AK
64.85755999999999,-147.823146,0.0,0.0221,0.0,0.0025,0.0115,0.0,0.027000000000000003,0.0295,0.0311,0.09,0.0491,0.0188,0.0057,0.0049,0.0131,0.063,0.0,0.0442,0.0074,0.0,0.0426,0.0,0.0,0.0,0.0147,0.0,0.0221,0.0851,0.0352,0.0221,0.0188,0.0532,0.0074,0.0033,0.0221,0.1358,0.1129,0.0049,4910.0,0.4945,0.0277,0.0727,0.0196,0.1403,0.0049,0.0786,0.0112,0.1505,0.4029,17168.0,6262.0,19183.0,7960.0,16935.0,9617.0,0.6036,0.5621,0.7626,0,3,1,1,AK
58.384845999999996,-134.63825500000002,0.0,0.0724,0.0,0.0088,0.0,0.0,0.0,0.0,0.0285,0.0,0.0,0.0,0.0,0.0,0.0154,0.2215,0.0,0.0395,0.0088,0.0,0.0614,0.011000000000000001,0.0,0.0,0.0,0.0,0.0,0.0022,0.0,0.0351,0.0088,0.0219,0.0175,0.0,0.0,0.2281,0.2193,0.0,1214.0,0.4926,0.0115,0.0725,0.0387,0.1096,0.0091,0.0824,0.0049,0.1787,0.528,17286.0,6828.0,19533.0,7411.0,14891.0,8395.0,0.6279,0.6689,0.6286,0,2,0,1,AK
